"Canápolis","BR.MG.130","BR",10608,18.7217,49.2040
"Candeias","BR.MG.131","BR",14592,20.7672,45.2770
"Cantagalo","BR.MG.132","BR",4190,18.5269,42.6259
"Caparaó","BR.MG.133","BR",5424,20.5241,41.9060
"Capela Nova","BR.MG.134","BR",4758,20.9236,43.6184
"Capelinha","BR.MG.135","BR",38057,17.6934,42.5181
"Capetinga","BR.MG.136","BR",7152,20.6191,47.0583
"Capim Branco","BR.MG.137","BR",10663,19.5476,44.1302
"Capinópolis","BR.MG.138","BR",14655,18.6830,49.5706
"Capitão Andrade","BR.MG.139","BR",5362,19.0712,41.8639
"Capitão Enéas","BR.MG.140","BR",14206,16.3254,43.7107
"Capitólio","BR.MG.141","BR",8693,20.6142,46.0465
"Caputira","BR.MG.142","BR",9033,20.1708,42.2687
"Caraí","BR.MG.143","BR",23780,17.1881,41.6979
"Caranaíba","BR.MG.144","BR",3487,20.8746,43.7376
"Carandaí","BR.MG.145","BR",23341,20.9538,43.8021
"Carangola","BR.MG.146","BR",33000,20.7351,42.0291
"Caratinga","BR.MG.147","BR",87360,19.7889,42.1365
"Carbonita","BR.MG.148","BR",9544,17.5332,43.0158
"Careaçu","BR.MG.149","BR",6721,22.0438,45.6993
"Carlos Chagas","BR.MG.150","BR",18516,17.7027,40.7627
"Carmésia","BR.MG.151","BR",2646,19.0867,43.1414
"Carmo da Cachoeira","BR.MG.152","BR",12276,21.4610,45.2199
"Carmo da Mata","BR.MG.153","BR",11476,20.5579,44.8699
"Carmo de Minas","BR.MG.154","BR",13752,22.1213,45.1324
"Carmo do Cajuru","BR.MG.155","BR",20018,20.1848,44.7714
"Carmo do Paranaíba","BR.MG.156","BR",30334,18.9997,46.3127
"Carmo do Rio Claro","BR.MG.157","BR",20426,20.9733,46.1191
"Carmópolis de Minas","BR.MG.158","BR",17050,20.5408,44.6387
"Carneirinho","BR.MG.159","BR",9556,19.6992,50.6899
"Carrancas","BR.MG.160","BR",4049,21.4885,44.6437
"Carvalhópolis","BR.MG.161","BR",3353,21.7785,45.8415
"Carvalhos","BR.MG.162","BR",4555,22.0005,44.4636
"Casa Grande","BR.MG.163","BR",2352,20.7934,43.9302
"Cascalho Rico","BR.MG.164","BR",3037,18.5787,47.8761
"Cássia","BR.MG.165","BR",17740,20.5849,46.9192
"Cataguases","BR.MG.166","BR",66261,21.3891,42.6933
"Catas Altas da Noruega","BR.MG.167","BR",3652,20.6902,43.4991
"Catas Altas","BR.MG.168","BR",5376,20.0743,43.4080
"Catuji","BR.MG.169","BR",8734,17.3011,41.5165
"Catuti","BR.MG.170","BR",5008,15.3618,42.9612
"Caxambu","BR.MG.171","BR",21656,21.9708,44.9305
"Cedro do Abaeté","BR.MG.172","BR",1231,19.1465,45.7138
"Central de Minas","BR.MG.173","BR",7017,18.7610,41.3068
"Centralina","BR.MG.174","BR",10343,18.5896,49.1971
"Chácara","BR.MG.175","BR",3101,21.6736,43.2212
"Chalé","BR.MG.176","BR",5823,20.0440,41.6888
"Chapada do Norte","BR.MG.177","BR",15675,17.0886,42.5396
"Chapada Gaúcha","BR.MG.178","BR",13680,15.2985,45.6253
"Chiador","BR.MG.179","BR",2988,22.0031,43.0564
"Cipotânea","BR.MG.180","BR",6547,20.9049,43.3654
"Claraval","BR.MG.181","BR",4843,20.4006,47.2850
"Claro dos Poções","BR.MG.182","BR",7781,17.0793,44.2091
"Cláudio","BR.MG.183","BR",28617,20.4439,44.7654
"Coimbra","BR.MG.184","BR",7117,20.8573,42.8013
"Coluna","BR.MG.185","BR",8163,18.2326,42.8377
"Comendador Gomes","BR.MG.186","BR",3128,19.6973,49.0836
"Comercinho","BR.MG.187","BR",8298,16.2968,41.7929
"Conceição da Aparecida","BR.MG.188","BR",9814,21.0945,46.2031
"Conceição da Barra de Minas","BR.MG.189","BR",3961,21.1289,44.4736
"Conceição das Alagoas","BR.MG.190","BR",26428,19.9242,48.3811
"Conceição das Pedras","BR.MG.191","BR",2772,22.1597,45.4549
"Conceição de Ipanema","BR.MG.192","BR",4570,19.9297,41.6925
"Conceição do Mato Dentro","BR.MG.193","BR",18126,19.0357,43.4248
"Conceição do Pará","BR.MG.194","BR",5162,19.7545,44.8995
"Conceição do Rio Verde","BR.MG.195","BR",12950,21.8804,45.0881
"Conceição dos Ouros","BR.MG.196","BR",10388,22.4125,45.7972
"Cônego Marinho","BR.MG.197","BR",7089,15.2966,44.4143
"Confins","BR.MG.198","BR",6730,19.6299,43.9899
"Congonhal","BR.MG.199","BR",11706,22.1523,46.0416
"Congonhas do Norte","BR.MG.200","BR",5103,18.8108,43.6785
"Congonhas","BR.MG.201","BR",52890,20.5027,43.8597
"Conquista","BR.MG.202","BR",7000,19.9381,47.5442
"Conselheiro Lafaiete","BR.MG.203","BR",131621,20.6610,43.7866
"Conselheiro Pena","BR.MG.204","BR",22892,19.1735,41.4723
"Consolação","BR.MG.205","BR",1727,22.5531,45.9237
"Contagem","BR.MG.206","BR",621865,19.9385,44.0518
"Coqueiral","BR.MG.207","BR",9023,21.1902,45.4394
"Coração de Jesus","BR.MG.208","BR",26035,16.6863,44.3625
"Cordisburgo","BR.MG.209","BR",8903,19.1264,44.3193
"Cordislândia","BR.MG.210","BR",3435,21.7925,45.7000
"Corinto","BR.MG.211","BR",23731,18.3644,44.4562
"Coroaci","BR.MG.212","BR",10884,18.6195,42.2820
"Coromandel","BR.MG.213","BR",27547,18.4786,47.1979
"Coronel Fabriciano","BR.MG.214","BR",104736,19.5195,42.6280
"Coronel Murta","BR.MG.215","BR",9228,16.6168,42.1831
"Coronel Pacheco","BR.MG.216","BR",3125,21.5887,43.2666
"Coronel Xavier Chaves","BR.MG.217","BR",3486,21.0233,44.2250
"Córrego Danta","BR.MG.218","BR",3391,19.8238,45.9043
"Córrego do Bom Jesus","BR.MG.219","BR",3732,22.6306,46.0199
